Town Name,Web Link,Distance Miles,Distance KM,Precise Drive time and Directions URL,Approx Drive miles,Approx Drive Time,Assumed Average MPH,Total Minutes,Region,Country,Population,Direction,Latitude,Longitude,Date
Cardinal,https://www.distantias.com/towns-radius-cardinal-canada.htm,32.89,52.9311926,https://www.distantias.com/distance-from-smiths_falls_canada-to-cardinal-canada.htm,39.96,0 hour(s) and 44 minutes,55,43.6, Ontario,Canada,1690,SE,44.7833,-75.3667,2011
Greely,https://www.distantias.com/towns-radius-greely-canada.htm,33.03,53.1565002,https://www.distantias.com/distance-from-smiths_falls_canada-to-greely-canada.htm,40.13,0 hour(s) and 44 minutes,55,43.8, Ontario,Canada,not available,NE,45.26,-75.57,2011
Nepean,https://www.distantias.com/towns-radius-nepean-canada.htm,33.11,53.2852474,https://www.distantias.com/distance-from-smiths_falls_canada-to-nepean-canada.htm,40.23,0 hour(s) and 44 minutes,55,43.9, Ontario,Canada,not available,NE,45.3467,-75.77,2011
Britannia,https://www.distantias.com/towns-radius-britannia-canada.htm,33.92,54.5888128,https://www.distantias.com/distance-from-smiths_falls_canada-to-britannia-canada.htm,41.21,0 hour(s) and 45 minutes,55,45, Ontario,Canada,not available,NE,45.3667,-75.8,2011
Sharbot Lake,https://www.distantias.com/towns-radius-sharbot_lake-canada.htm,33.98,54.6853732,https://www.distantias.com/distance-from-smiths_falls_canada-to-sharbot_lake-canada.htm,41.29,0 hour(s) and 45 minutes,55,45, Ontario,Canada,not available,SW,44.7667,-76.6833,2011
Uplands,https://www.distantias.com/towns-radius-uplands-canada.htm,34.04,54.7819336,https://www.distantias.com/distance-from-smiths_falls_canada-to-uplands-canada.htm,41.36,0 hour(s) and 45 minutes,55,45.1, Ontario,Canada,not available,NE,45.3333,-75.6833,2011
Chippewa Bay,https://www.distantias.com/towns-radius-chippewa_bay-united_states.htm,34.3,55.200362,https://www.distantias.com/distance-from-smiths_falls_canada-to-chippewa_bay-united_states.htm,41.67,0 hour(s) and 45 minutes,55,45.5, New York,United States,not available,SE,44.4404,-75.754,2011
Iroquois,https://www.distantias.com/towns-radius-iroquois-canada.htm,34.47,55.4739498,https://www.distantias.com/distance-from-smiths_falls_canada-to-iroquois-canada.htm,41.88,0 hour(s) and 46 minutes,55,45.7, Ontario,Canada,1139,SE,44.85,-75.3167,2011
Winchester,https://www.distantias.com/towns-radius-winchester-canada.htm,35.34,56.8740756,https://www.distantias.com/distance-from-smiths_falls_canada-to-winchester-canada.htm,42.94,0 hour(s) and 47 minutes,55,46.8, Ontario,Canada,2482,NE,45.1,-75.35,2011
Hammond,https://www.distantias.com/towns-radius-hammond-united_states.htm,35.4,56.970636,https://www.distantias.com/distance-from-smiths_falls_canada-to-hammond-united_states.htm,43.01,0 hour(s) and 47 minutes,55,46.9, New York,United States,1153,SE,44.4468,-75.6821,2018
Aylmer,https://www.distantias.com/towns-radius-aylmer-canada.htm,35.48,57.0993832,https://www.distantias.com/distance-from-smiths_falls_canada-to-aylmer-canada.htm,43.11,0 hour(s) and 47 minutes,55,47, Quebec,Canada,not available,NE,45.4,-75.85,2011
Heuvelton,https://www.distantias.com/towns-radius-heuvelton-united_states.htm,35.77,57.5660918,https://www.distantias.com/distance-from-smiths_falls_canada-to-heuvelton-united_states.htm,43.46,0 hour(s) and 47 minutes,55,47.4, New York,United States,1560,SE,44.5476,-75.4847,2011
Tichborne,https://www.distantias.com/towns-radius-tichborne-canada.htm,36.51,58.7570034,https://www.distantias.com/distance-from-smiths_falls_canada-to-tichborne-canada.htm,44.36,0 hour(s) and 48 minutes,55,48.4, Ontario,Canada,not available,SW,44.6667,-76.6833,2011
Rockport,https://www.distantias.com/towns-radius-rockport-canada.htm,37.08,59.6743272,https://www.distantias.com/distance-from-smiths_falls_canada-to-rockport-canada.htm,45.05,0 hour(s) and 49 minutes,55,49.2, Ontario,Canada,not available,SE,44.3667,-75.9333,2011
Lisbon,https://www.distantias.com/towns-radius-lisbon-united_states.htm,37.41,60.2054094,https://www.distantias.com/distance-from-smiths_falls_canada-to-lisbon-united_states.htm,45.45,0 hour(s) and 50 minutes,55,49.6, New York,United States,4058,SE,44.7499,-75.2842,2018
Parham,https://www.distantias.com/towns-radius-parham-canada.htm,38.51,61.9756834,https://www.distantias.com/distance-from-smiths_falls_canada-to-parham-canada.htm,46.79,0 hour(s) and 51 minutes,55,51, Ontario,Canada,not available,SW,44.65,-76.7167,2011
Ottawa,https://www.distantias.com/towns-radius-ottawa-canada.htm,38.87,62.5550458,https://www.distantias.com/distance-from-smiths_falls_canada-to-ottawa-canada.htm,47.23,0 hour(s) and 52 minutes,55,51.5, Ontario,Canada,947000,NE,45.4167,-75.7,2011
De Peyster,https://www.distantias.com/towns-radius-de_peyster-united_states.htm,39.08,62.8930072,https://www.distantias.com/distance-from-smiths_falls_canada-to-de_peyster-united_states.htm,47.48,0 hour(s) and 52 minutes,55,51.8, New York,United States,1050,SE,44.4807,-75.4849,2018
Hull,https://www.distantias.com/towns-radius-hull-canada.htm,39.33,63.2953422,https://www.distantias.com/distance-from-smiths_falls_canada-to-hull-canada.htm,47.79,0 hour(s) and 52 minutes,55,52.1, Quebec,Canada,not available,NE,45.4333,-75.7333,2011
White Lake,https://www.distantias.com/towns-radius-white_lake-canada.htm,39.41,63.4240894,https://www.distantias.com/distance-from-smiths_falls_canada-to-white_lake-canada.htm,47.88,0 hour(s) and 52 minutes,55,52.2, Ontario,Canada,not available,NW,45.3667,-76.4833,2011
Alexandria Bay,https://www.distantias.com/towns-radius-alexandria_bay-united_states.htm,39.75,63.971265,https://www.distantias.com/distance-from-smiths_falls_canada-to-alexandria_bay-united_states.htm,48.3,0 hour(s) and 53 minutes,55,52.7, New York,United States,1759,SE,44.3325,-75.885,2011
Wellesley Island,https://www.distantias.com/towns-radius-wellesley_island-united_states.htm,39.8,64.051732,https://www.distantias.com/distance-from-smiths_falls_canada-to-wellesley_island-united_states.htm,48.36,0 hour(s) and 53 minutes,55,52.8, New York,United States,not available,SE,44.3265,-75.9416,2011
Gananoque,https://www.distantias.com/towns-radius-gananoque-canada.htm,39.85,64.132199,https://www.distantias.com/distance-from-smiths_falls_canada-to-gananoque-canada.htm,48.42,0 hour(s) and 53 minutes,55,52.8, Ontario,Canada,5194,SW,44.3333,-76.1667,2011
Rensselaer Falls,https://www.distantias.com/towns-radius-rensselaer_falls-united_states.htm,40.3,64.856402,https://www.distantias.com/distance-from-smiths_falls_canada-to-rensselaer_falls-united_states.htm,48.96,0 hour(s) and 53 minutes,55,53.4, New York,United States,838,SE,44.6237,-75.295,2011
Russell,https://www.distantias.com/towns-radius-russell-canada.htm,40.49,65.1621766,https://www.distantias.com/distance-from-smiths_falls_canada-to-russell-canada.htm,49.2,0 hour(s) and 54 minutes,55,53.7, Ontario,Canada,3759,NE,45.26,-75.36,2011
Arnprior,https://www.distantias.com/towns-radius-arnprior-canada.htm,40.57,65.2909238,https://www.distantias.com/distance-from-smiths_falls_canada-to-arnprior-canada.htm,49.29,0 hour(s) and 54 minutes,55,53.8, Ontario,Canada,10099,NW,45.4333,-76.3667,2011
Ompah,https://www.distantias.com/towns-radius-ompah-canada.htm,40.7,65.500138,https://www.distantias.com/distance-from-smiths_falls_canada-to-ompah-canada.htm,49.45,0 hour(s) and 54 minutes,55,54, Ontario,Canada,not available,NW,45.0167,-76.8333,2011
Morrisburg,https://www.distantias.com/towns-radius-morrisburg-canada.htm,40.79,65.6449786,https://www.distantias.com/distance-from-smiths_falls_canada-to-morrisburg-canada.htm,49.56,0 hour(s) and 54 minutes,55,54.1, Ontario,Canada,2756,NE,44.9,-75.1833,2011
Gloucester,https://www.distantias.com/towns-radius-gloucester-canada.htm,41.03,66.0312202,https://www.distantias.com/distance-from-smiths_falls_canada-to-gloucester-canada.htm,49.85,0 hour(s) and 54 minutes,55,54.4, Ontario,Canada,not available,NE,45.4167,-75.6,2011
Rockcliffe Park,https://www.distantias.com/towns-radius-rockcliffe_park-canada.htm,41.3,66.465742,https://www.distantias.com/distance-from-smiths_falls_canada-to-rockcliffe_park-canada.htm,50.18,0 hour(s) and 55 minutes,55,54.7, Ontario,Canada,not available,NE,45.45,-75.6833,2011
Chesterville,https://www.distantias.com/towns-radius-chesterville-canada.htm,41.4,66.626676,https://www.distantias.com/distance-from-smiths_falls_canada-to-chesterville-canada.htm,50.3,0 hour(s) and 55 minutes,55,54.9, Ontario,Canada,1514,NE,45.1,-75.2167,2011
Madrid,https://www.distantias.com/towns-radius-madrid-united_states.htm,41.69,67.0933846,https://www.distantias.com/distance-from-smiths_falls_canada-to-madrid-united_states.htm,50.65,0 hour(s) and 55 minutes,55,55.3, New York,United States,1651,SE,44.7756,-75.1851,2018
Waddington,https://www.distantias.com/towns-radius-waddington-united_states.htm,41.75,67.189945,https://www.distantias.com/distance-from-smiths_falls_canada-to-waddington-united_states.htm,50.73,0 hour(s) and 55 minutes,55,55.3, New York,United States,2214,SE,44.8474,-75.1678,2018
Redwood,https://www.distantias.com/towns-radius-redwood-united_states.htm,42.19,67.8980546,https://www.distantias.com/distance-from-smiths_falls_canada-to-redwood-united_states.htm,51.26,0 hour(s) and 56 minutes,55,55.9, New York,United States,1510,SE,44.3237,-75.735,2011
Mountain Grove,https://www.distantias.com/towns-radius-mountain_grove-canada.htm,42.5,68.39695,https://www.distantias.com/distance-from-smiths_falls_canada-to-mountain_grove-canada.htm,51.64,0 hour(s) and 56 minutes,55,56.3, Ontario,Canada,not available,SW,44.7333,-76.85,2011
Thousand Island Park,https://www.distantias.com/towns-radius-thousand_island_park-united_states.htm,42.51,68.4130434,https://www.distantias.com/distance-from-smiths_falls_canada-to-thousand_island_park-united_states.htm,51.65,0 hour(s) and 56 minutes,55,56.4, New York,United States,31,SW,44.2849,-76.0299,2011
Old Chelsea,https://www.distantias.com/towns-radius-old_chelsea-canada.htm,42.58,68.5256972,https://www.distantias.com/distance-from-smiths_falls_canada-to-old_chelsea-canada.htm,51.73,0 hour(s) and 56 minutes,55,56.4, Quebec,Canada,not available,NE,45.5,-75.8167,2011
Luskville,https://www.distantias.com/towns-radius-luskville-canada.htm,42.62,68.5900708,https://www.distantias.com/distance-from-smiths_falls_canada-to-luskville-canada.htm,51.78,0 hour(s) and 56 minutes,55,56.5, Quebec,Canada,not available,NE,45.5167,-76,2011
Fishers Landing,https://www.distantias.com/towns-radius-fishers_landing-united_states.htm,42.97,69.1533398,https://www.distantias.com/distance-from-smiths_falls_canada-to-fishers_landing-united_states.htm,52.21,0 hour(s) and 57 minutes,55,57, New York,United States,89,SE,44.2782,-76.0083,2011
Braeside,https://www.distantias.com/towns-radius-braeside-canada.htm,43.34,69.7487956,https://www.distantias.com/distance-from-smiths_falls_canada-to-braeside-canada.htm,52.66,0 hour(s) and 57 minutes,55,57.5, Ontario,Canada,not available,NW,45.4667,-76.4,2011
Plessis,https://www.distantias.com/towns-radius-plessis-united_states.htm,43.35,69.764889,https://www.distantias.com/distance-from-smiths_falls_canada-to-plessis-united_states.htm,52.67,0 hour(s) and 57 minutes,55,57.5, New York,United States,164,SE,44.2847,-75.8458,2011
Verona,https://www.distantias.com/towns-radius-verona-canada.htm,43.69,70.3120646,https://www.distantias.com/distance-from-smiths_falls_canada-to-verona-canada.htm,53.08,0 hour(s) and 58 minutes,55,57.9, Ontario,Canada,not available,SW,44.4833,-76.6833,2011
Calabogie,https://www.distantias.com/towns-radius-calabogie-canada.htm,43.84,70.5534656,https://www.distantias.com/distance-from-smiths_falls_canada-to-calabogie-canada.htm,53.27,0 hour(s) and 58 minutes,55,58.1, Ontario,Canada,not available,NW,45.3,-76.7167,2011
Quyon,https://www.distantias.com/towns-radius-quyon-canada.htm,43.89,70.6339326,https://www.distantias.com/distance-from-smiths_falls_canada-to-quyon-canada.htm,53.33,0 hour(s) and 58 minutes,55,58.2, Quebec,Canada,not available,NW,45.5167,-76.2333,2011
Gatineau,https://www.distantias.com/towns-radius-gatineau-canada.htm,44.05,70.891427,https://www.distantias.com/distance-from-smiths_falls_canada-to-gatineau-canada.htm,53.52,0 hour(s) and 58 minutes,55,58.4, Quebec,Canada,not available,NE,45.4833,-75.65,2011
Latimer,https://www.distantias.com/towns-radius-latimer-canada.htm,44.36,71.3903224,https://www.distantias.com/distance-from-smiths_falls_canada-to-latimer-canada.htm,53.9,0 hour(s) and 59 minutes,55,58.8, Ontario,Canada,not available,SW,44.3667,-76.5167,2011
Templeton,https://www.distantias.com/towns-radius-templeton-canada.htm,45.08,72.5490472,https://www.distantias.com/distance-from-smiths_falls_canada-to-templeton-canada.htm,54.77,0 hour(s) and 60 minutes,55,59.8, Quebec,Canada,not available,NE,45.4833,-75.6,2011
De Kalb Junction,https://www.distantias.com/towns-radius-de_kalb_junction-united_states.htm,45.44,73.1284096,https://www.distantias.com/distance-from-smiths_falls_canada-to-de_kalb_junction-united_states.htm,55.21,1 hour(s) and 0 minutes,55,60.2, New York,United States,1010,SE,44.495,-75.2904,2011
Orleans,https://www.distantias.com/towns-radius-orleans-canada.htm,46.05,74.110107,https://www.distantias.com/distance-from-smiths_falls_canada-to-orleans-canada.htm,55.95,1 hour(s) and 1 minutes,55,61, Ontario,Canada,not available,NE,45.4667,-75.5167,2011
Richville,https://www.distantias.com/towns-radius-richville-united_states.htm,46.24,74.4158816,https://www.distantias.com/distance-from-smiths_falls_canada-to-richville-united_states.htm,56.18,1 hour(s) and 1 minutes,55,61.3, New York,United States,725,SE,44.4183,-75.3665,2011
Gouverneur,https://www.distantias.com/towns-radius-gouverneur-united_states.htm,46.74,75.2205516,https://www.distantias.com/distance-from-smiths_falls_canada-to-gouverneur-united_states.htm,56.79,1 hour(s) and 2 minutes,55,62, New York,United States,7074,SE,44.348,-75.4699,2018
Oxbow,https://www.distantias.com/towns-radius-oxbow-united_states.htm,46.89,75.4619526,https://www.distantias.com/distance-from-smiths_falls_canada-to-oxbow-united_states.htm,56.97,1 hour(s) and 2 minutes,55,62.2, New York,United States,108,SE,44.2843,-75.6184,2011
Chase Mills,https://www.distantias.com/towns-radius-chase_mills-united_states.htm,46.91,75.4941394,https://www.distantias.com/distance-from-smiths_falls_canada-to-chase_mills-united_states.htm,57,1 hour(s) and 2 minutes,55,62.2, New York,United States,512,SE,44.8219,-75.0661,2011
Limoges,https://www.distantias.com/towns-radius-limoges-canada.htm,47.79,76.9103586,https://www.distantias.com/distance-from-smiths_falls_canada-to-limoges-canada.htm,58.06,1 hour(s) and 3 minutes,55,63.3, Ontario,Canada,not available,NE,45.3333,-75.25,2011
Finch,https://www.distantias.com/towns-radius-finch-canada.htm,48.27,77.6828418,https://www.distantias.com/distance-from-smiths_falls_canada-to-finch-canada.htm,58.65,1 hour(s) and 4 minutes,55,64, Ontario,Canada,not available,NE,45.1333,-75.0833,2011
Clayton,https://www.distantias.com/towns-radius-clayton-united_states.htm,48.27,77.6828418,https://www.distantias.com/distance-from-smiths_falls_canada-to-clayton-united_states.htm,58.65,1 hour(s) and 4 minutes,55,64, New York,United States,4822,SW,44.2038,-76.0958,2018
La Fargeville,https://www.distantias.com/towns-radius-la_fargeville-united_states.htm,48.54,78.1173636,https://www.distantias.com/distance-from-smiths_falls_canada-to-la_fargeville-united_states.htm,58.98,1 hour(s) and 4 minutes,55,64.3, New York,United States,2118,SE,44.1987,-75.9612,2011
Theresa,https://www.distantias.com/towns-radius-theresa-united_states.htm,48.8,78.535792,https://www.distantias.com/distance-from-smiths_falls_canada-to-theresa-united_states.htm,59.29,1 hour(s) and 5 minutes,55,64.7, New York,United States,2790,SE,44.218,-75.7606,2018
Pyrites,https://www.distantias.com/towns-radius-pyrites-united_states.htm,48.83,78.5840722,https://www.distantias.com/distance-from-smiths_falls_canada-to-pyrites-united_states.htm,59.33,1 hour(s) and 5 minutes,55,64.7, New York,United States,not available,SE,44.5151,-75.1856,2011
Antwerp,https://www.distantias.com/towns-radius-antwerp-united_states.htm,49.11,79.0346874,https://www.distantias.com/distance-from-smiths_falls_canada-to-antwerp-united_states.htm,59.67,1 hour(s) and 5 minutes,55,65.1, New York,United States,1792,SE,44.2465,-75.6269,2018
Canton,https://www.distantias.com/towns-radius-canton-united_states.htm,49.6,79.823264,https://www.distantias.com/distance-from-smiths_falls_canada-to-canton-united_states.htm,60.26,1 hour(s) and 6 minutes,55,65.7, New York,United States,10987,SE,44.5924,-75.106,2018
Hailesboro,https://www.distantias.com/towns-radius-hailesboro-united_states.htm,49.7,79.984198,https://www.distantias.com/distance-from-smiths_falls_canada-to-hailesboro-united_states.htm,60.39,1 hour(s) and 6 minutes,55,65.9, New York,United States,624,SE,44.3053,-75.4514,2011
Ingleside,https://www.distantias.com/towns-radius-ingleside-canada.htm,50.16,80.7244944,https://www.distantias.com/distance-from-smiths_falls_canada-to-ingleside-canada.htm,60.24,0 hour(s) and 56 minutes,65,55.6, Ontario,Canada,not available,NE,45,-75,2011
Renfrew,https://www.distantias.com/towns-radius-renfrew-canada.htm,50.77,81.7061918,https://www.distantias.com/distance-from-smiths_falls_canada-to-renfrew-canada.htm,60.97,0 hour(s) and 56 minutes,65,56.3, Ontario,Canada,8340,NW,45.4667,-76.6833,2011
Wakefield,https://www.distantias.com/towns-radius-wakefield-canada.htm,50.83,81.8027522,https://www.distantias.com/distance-from-smiths_falls_canada-to-wakefield-canada.htm,61.05,0 hour(s) and 56 minutes,65,56.4, Quebec,Canada,not available,NE,45.6333,-75.9333,2011
Raymondville,https://www.distantias.com/towns-radius-raymondville-united_states.htm,50.89,81.8993126,https://www.distantias.com/distance-from-smiths_falls_canada-to-raymondville-united_states.htm,61.12,0 hour(s) and 56 minutes,65,56.4, New York,United States,not available,SE,44.8422,-74.9813,2011
Hermon,https://www.distantias.com/towns-radius-hermon-united_states.htm,51.41,82.7361694,https://www.distantias.com/distance-from-smiths_falls_canada-to-hermon-united_states.htm,61.74,0 hour(s) and 57 minutes,65,57, New York,United States,1057,SE,44.4353,-75.203,2018
Kingston,https://www.distantias.com/towns-radius-kingston-canada.htm,51.54,82.9453836,https://www.distantias.com/distance-from-smiths_falls_canada-to-kingston-canada.htm,61.9,0 hour(s) and 57 minutes,65,57.1, Ontario,Canada,117787,SW,44.2333,-76.4833,2011
Sainte-cecile-de-masham,https://www.distantias.com/towns-radius-sainte-cecile-de-masham-canada.htm,51.83,83.4120922,https://www.distantias.com/distance-from-smiths_falls_canada-to-sainte-cecile-de-masham-canada.htm,62.25,0 hour(s) and 57 minutes,65,57.5, Quebec,Canada,not available,NW,45.65,-76.0333,2011
Cumberland,https://www.distantias.com/towns-radius-cumberland-canada.htm,51.95,83.605213,https://www.distantias.com/distance-from-smiths_falls_canada-to-cumberland-canada.htm,62.39,0 hour(s) and 58 minutes,65,57.6, Ontario,Canada,not available,NE,45.52,-75.41,2011
Philadelphia,https://www.distantias.com/towns-radius-philadelphia-united_states.htm,52.1,83.846614,https://www.distantias.com/distance-from-smiths_falls_canada-to-philadelphia-united_states.htm,62.57,0 hour(s) and 58 minutes,65,57.8, New York,United States,1830,SE,44.1783,-75.7123,2018
Enterprise,https://www.distantias.com/towns-radius-enterprise-canada.htm,52.18,83.9753612,https://www.distantias.com/distance-from-smiths_falls_canada-to-enterprise-canada.htm,62.67,0 hour(s) and 58 minutes,65,57.9, Ontario,Canada,not available,SW,44.4667,-76.8833,2011
Yarker,https://www.distantias.com/towns-radius-yarker-canada.htm,52.26,84.1041084,https://www.distantias.com/distance-from-smiths_falls_canada-to-yarker-canada.htm,62.76,0 hour(s) and 58 minutes,65,57.9, Ontario,Canada,not available,SW,44.3667,-76.7667,2011
Depauville,https://www.distantias.com/towns-radius-depauville-united_states.htm,52.51,84.5064434,https://www.distantias.com/distance-from-smiths_falls_canada-to-depauville-united_states.htm,63.06,0 hour(s) and 58 minutes,65,58.2, New York,United States,577,SW,44.1409,-76.0639,2011
Massena,https://www.distantias.com/towns-radius-massena-united_states.htm,52.75,84.892685,https://www.distantias.com/distance-from-smiths_falls_canada-to-massena-united_states.htm,63.35,0 hour(s) and 58 minutes,65,58.5, New York,United States,12114,NE,44.9503,-74.9404,2018
Casselman,https://www.distantias.com/towns-radius-casselman-canada.htm,53.13,85.5042342,https://www.distantias.com/distance-from-smiths_falls_canada-to-casselman-canada.htm,63.81,0 hour(s) and 59 minutes,65,58.9, Ontario,Canada,3642,NE,45.3,-75.0833,2011
Richelieu,https://www.distantias.com/towns-radius-richelieu-canada.htm,53.16,85.5525144,https://www.distantias.com/distance-from-smiths_falls_canada-to-richelieu-canada.htm,63.85,0 hour(s) and 59 minutes,65,58.9, Quebec,Canada,not available,NE,45.45,-75.25,2011
Norwood,https://www.distantias.com/towns-radius-norwood-united_states.htm,53.34,85.8421956,https://www.distantias.com/distance-from-smiths_falls_canada-to-norwood-united_states.htm,64.06,0 hour(s) and 59 minutes,65,59.1, New York,United States,2591,SE,44.7606,-74.9474,2011
Shawville,https://www.distantias.com/towns-radius-shawville-canada.htm,53.37,85.8904758,https://www.distantias.com/distance-from-smiths_falls_canada-to-shawville-canada.htm,64.1,0 hour(s) and 59 minutes,65,59.2, Quebec,Canada,1664,NW,45.6,-76.4833,2011
Masson,https://www.distantias.com/towns-radius-masson-canada.htm,53.48,86.0675032,https://www.distantias.com/distance-from-smiths_falls_canada-to-masson-canada.htm,64.23,0 hour(s) and 59 minutes,65,59.3, Quebec,Canada,not available,NE,45.55,-75.4167,2011
Norfolk,https://www.distantias.com/towns-radius-norfolk-united_states.htm,54,86.90436,https://www.distantias.com/distance-from-smiths_falls_canada-to-norfolk-united_states.htm,64.85,0 hour(s) and 60 minutes,65,59.9, New York,United States,4473,SE,44.827,-74.9198,2018
Lunenburg,https://www.distantias.com/towns-radius-lunenburg-canada.htm,55.14,88.7390076,https://www.distantias.com/distance-from-smiths_falls_canada-to-lunenburg-canada.htm,66.22,1 hour(s) and 1 minutes,65,61.1, Ontario,Canada,not available,NE,45.06,-74.91,2011
Hannawa Falls,https://www.distantias.com/towns-radius-hannawa_falls-united_states.htm,55.19,88.8194746,https://www.distantias.com/distance-from-smiths_falls_canada-to-hannawa_falls-united_states.htm,66.28,1 hour(s) and 1 minutes,65,61.2, New York,United States,500,SE,44.6125,-74.97,2011
